;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
33;Average fixed raters;0.938203;16.181983;42;126;0.0;[0.9  0.96];Preprocessed data;Control;theta;C22
34;Average fixed raters;0.921326;12.710656;42;126;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C22
35;Average fixed raters;0.943338;17.648623;42;126;0.0;[0.91 0.97];Preprocessed data;Control;alpha-2;C22
36;Average fixed raters;0.936117;15.653702;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
37;Average fixed raters;0.941085;16.973588;42;126;0.0;[0.91 0.97];Preprocessed data;Control;beta2;C22
38;Average fixed raters;0.945193;18.245948;42;126;0.0;[0.91 0.97];Preprocessed data;Control;beta3;C22
39;Average fixed raters;0.907711;10.835532;42;126;0.0;[0.85 0.95];Preprocessed data;Control;gamma;C22
40;Average fixed raters;0.792191;4.8121;42;126;0.0;[0.67 0.88];Preprocessed data;Control;delta;C23
41;Average fixed raters;0.932033;14.71295;42;126;0.0;[0.89 0.96];Preprocessed data;Control;theta;C23
42;Average fixed raters;0.870022;7.693603;42;126;0.0;[0.79 0.92];Preprocessed data;Control;alpha-1;C23
43;Average fixed raters;0.902954;10.30438;42;126;0.0;[0.85 0.94];Preprocessed data;Control;alpha-2;C23
44;Average fixed raters;0.882197;8.488738;42;126;0.0;[0.81 0.93];Preprocessed data;Control;beta1;C23
45;Average fixed raters;0.90131;10.132695;42;126;0.0;[0.84 0.94];Preprocessed data;Control;beta2;C23
46;Average fixed raters;0.906699;10.718026;42;126;0.0;[0.85 0.95];Preprocessed data;Control;beta3;C23
47;Average fixed raters;0.925989;13.511489;42;126;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C23
48;Average fixed raters;0.789896;4.759553;42;126;0.0;[0.66 0.88];Preprocessed data;Control;delta;C24
49;Average fixed raters;0.96302;27.041879;42;126;0.0;[0.94 0.98];Preprocessed data;Control;theta;C24
50;Average fixed raters;0.929128;14.109942;42;126;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C24
51;Average fixed raters;0.921083;12.67147;42;126;0.0;[0.87 0.95];Preprocessed data;Control;alpha-2;C24
52;Average fixed raters;0.920132;12.520726;42;126;0.0;[0.87 0.95];Preprocessed data;Control;beta1;C24
53;Average fixed raters;0.938398;16.233203;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C24
54;Average fixed raters;0.952759;21.167965;42;126;0.0;[0.92 0.97];Preprocessed data;Control;beta3;C24
55;Average fixed raters;0.944856;18.134228;42;126;0.0;[0.91 0.97];Preprocessed data;Control;gamma;C24
56;Average fixed raters;0.775182;4.448038;42;126;0.0;[0.64 0.87];Preprocessed data;Control;delta;C25
57;Average fixed raters;0.948307;19.344901;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C25
58;Average fixed raters;0.903456;10.357928;42;126;0.0;[0.85 0.94];Preprocessed data;Control;alpha-1;C25
59;Average fixed raters;0.926872;13.674647;42;126;0.0;[0.88 0.96];Preprocessed data;Control;alpha-2;C25
60;Average fixed raters;0.912496;11.428001;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C25
61;Average fixed raters;0.962546;26.699279;42;126;0.0;[0.94 0.98];Preprocessed data;Control;beta2;C25
62;Average fixed raters;0.969116;32.379437;42;126;0.0;[0.95 0.98];Preprocessed data;Control;beta3;C25
63;Average fixed raters;0.949631;19.853436;42;126;0.0;[0.92 0.97];Preprocessed data;Control;gamma;C25
64;Average fixed raters;0.8657;7.445995;42;126;0.0;[0.79 0.92];Normalized data;Control;delta;C14
65;Average fixed raters;0.942389;17.357654;42;126;0.0;[0.91 0.97];Normalized data;Control;theta;C14
66;Average fixed raters;0.931107;14.515243;42;126;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C14
67;Average fixed raters;0.948727;19.503265;42;126;0.0;[0.92 0.97];Normalized data;Control;alpha-2;C14
68;Average fixed raters;0.883115;8.55545;42;126;0.0;[0.81 0.93];Normalized data;Control;beta1;C14
69;Average fixed raters;0.912955;11.488336;42;126;0.0;[0.86 0.95];Normalized data;Control;beta2;C14
70;Average fixed raters;0.942928;17.52187;42;126;0.0;[0.91 0.97];Normalized data;Control;beta3;C14
71;Average fixed raters;0.881966;8.472151;42;126;0.0;[0.81 0.93];Normalized data;Control;gamma;C14
72;Average fixed raters;0.88093;8.398425;42;126;0.0;[0.81 0.93];Normalized data;Control;delta;C15
73;Average fixed raters;0.934155;15.187202;42;126;0.0;[0.89 0.96];Normalized data;Control;theta;C15
74;Average fixed raters;0.910299;11.148118;42;126;0.0;[0.86 0.95];Normalized data;Control;alpha-1;C15
75;Average fixed raters;0.883546;8.587089;42;126;0.0;[0.81 0.93];Normalized data;Control;alpha-2;C15
76;Average fixed raters;0.917767;12.160627;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C15
77;Average fixed raters;0.937269;15.941123;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C15
78;Average fixed raters;0.929184;14.121082;42;126;0.0;[0.89 0.96];Normalized data;Control;beta3;C15
79;Average fixed raters;0.892486;9.301078;42;126;0.0;[0.83 0.94];Normalized data;Control;gamma;C15
80;Average fixed raters;0.880656;8.379168;42;126;0.0;[0.81 0.93];Normalized data;Control;delta;C18
81;Average fixed raters;0.945972;18.508962;42;126;0.0;[0.91 0.97];Normalized data;Control;theta;C18
82;Average fixed raters;0.908251;10.899257;42;126;0.0;[0.85 0.95];Normalized data;Control;alpha-1;C18
83;Average fixed raters;0.919213;12.378174;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-2;C18
84;Average fixed raters;0.92008;12.512578;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C18
85;Average fixed raters;0.920406;12.56372;42;126;0.0;[0.87 0.95];Normalized data;Control;beta2;C18
86;Average fixed raters;0.954745;22.097232;42;126;0.0;[0.93 0.97];Normalized data;Control;beta3;C18
87;Average fixed raters;0.892217;9.277878;42;126;0.0;[0.83 0.94];Normalized data;Control;gamma;C18
88;Average fixed raters;0.848834;6.615235;42;126;0.0;[0.76 0.91];Normalized data;Control;delta;C20
89;Average fixed raters;0.952448;21.029728;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C20
90;Average fixed raters;0.933164;14.962098;42;126;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C20
91;Average fixed raters;0.935605;15.529229;42;126;0.0;[0.9  0.96];Normalized data;Control;alpha-2;C20
92;Average fixed raters;0.91229;11.401269;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C20
93;Average fixed raters;0.890781;9.155953;42;126;0.0;[0.83 0.94];Normalized data;Control;beta2;C20
94;Average fixed raters;0.928605;14.00665;42;126;0.0;[0.89 0.96];Normalized data;Control;beta3;C20
95;Average fixed raters;0.907973;10.866372;42;126;0.0;[0.85 0.95];Normalized data;Control;gamma;C20
96;Average fixed raters;0.82304;5.651009;42;126;0.0;[0.72 0.9 ];Normalized data;Control;delta;C22
97;Average fixed raters;0.938203;16.181983;42;126;0.0;[0.9  0.96];Normalized data;Control;theta;C22
98;Average fixed raters;0.921326;12.710656;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-1;C22
99;Average fixed raters;0.943338;17.648623;42;126;0.0;[0.91 0.97];Normalized data;Control;alpha-2;C22
100;Average fixed raters;0.936117;15.653702;42;126;0.0;[0.9  0.96];Normalized data;Control;beta1;C22
101;Average fixed raters;0.941085;16.973588;42;126;0.0;[0.91 0.97];Normalized data;Control;beta2;C22
102;Average fixed raters;0.945193;18.245948;42;126;0.0;[0.91 0.97];Normalized data;Control;beta3;C22
103;Average fixed raters;0.907711;10.835532;42;126;0.0;[0.85 0.95];Normalized data;Control;gamma;C22
104;Average fixed raters;0.792191;4.8121;42;126;0.0;[0.67 0.88];Normalized data;Control;delta;C23
105;Average fixed raters;0.932033;14.71295;42;126;0.0;[0.89 0.96];Normalized data;Control;theta;C23
106;Average fixed raters;0.870022;7.693603;42;126;0.0;[0.79 0.92];Normalized data;Control;alpha-1;C23
107;Average fixed raters;0.902954;10.30438;42;126;0.0;[0.85 0.94];Normalized data;Control;alpha-2;C23
108;Average fixed raters;0.882197;8.488738;42;126;0.0;[0.81 0.93];Normalized data;Control;beta1;C23
109;Average fixed raters;0.90131;10.132695;42;126;0.0;[0.84 0.94];Normalized data;Control;beta2;C23
110;Average fixed raters;0.906699;10.718026;42;126;0.0;[0.85 0.95];Normalized data;Control;beta3;C23
111;Average fixed raters;0.925989;13.511489;42;126;0.0;[0.88 0.96];Normalized data;Control;gamma;C23
112;Average fixed raters;0.789896;4.759553;42;126;0.0;[0.66 0.88];Normalized data;Control;delta;C24
113;Average fixed raters;0.96302;27.041879;42;126;0.0;[0.94 0.98];Normalized data;Control;theta;C24
114;Average fixed raters;0.929128;14.109942;42;126;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C24
115;Average fixed raters;0.921083;12.67147;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-2;C24
116;Average fixed raters;0.920132;12.520726;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C24
117;Average fixed raters;0.938398;16.233203;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C24
118;Average fixed raters;0.952759;21.167965;42;126;0.0;[0.92 0.97];Normalized data;Control;beta3;C24
119;Average fixed raters;0.944856;18.134228;42;126;0.0;[0.91 0.97];Normalized data;Control;gamma;C24
120;Average fixed raters;0.775182;4.448038;42;126;0.0;[0.64 0.87];Normalized data;Control;delta;C25
121;Average fixed raters;0.948307;19.344901;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C25
122;Average fixed raters;0.903456;10.357928;42;126;0.0;[0.85 0.94];Normalized data;Control;alpha-1;C25
123;Average fixed raters;0.926872;13.674647;42;126;0.0;[0.88 0.96];Normalized data;Control;alpha-2;C25
124;Average fixed raters;0.912496;11.428001;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C25
125;Average fixed raters;0.962546;26.699279;42;126;0.0;[0.94 0.98];Normalized data;Control;beta2;C25
126;Average fixed raters;0.969116;32.379437;42;126;0.0;[0.95 0.98];Normalized data;Control;beta3;C25
127;Average fixed raters;0.949631;19.853436;42;126;0.0;[0.92 0.97];Normalized data;Control;gamma;C25
